lat,lon,datetime,user_id
39.984702,116.318417,2008-10-23 02:53:04,000
39.984683,116.31845,2008-10-23 02:53:10,000
39.984686,116.318417,2008-10-23 02:53:15,000
39.984688,116.318385,2008-10-23 02:53:20,000
39.984655,116.318263,2008-10-23 02:53:25,000
39.984611,116.318026,2008-10-23 02:53:30,000
39.984608,116.317761,2008-10-23 02:53:35,000
39.984563,116.317517,2008-10-23 02:53:40,000
39.984539,116.317294,2008-10-23 02:53:45,000
39.984606,116.317065,2008-10-23 02:53:50,000
39.984568,116.316911,2008-10-23 02:53:55,000
39.984586,116.316716,2008-10-23 02:54:00,000
39.984561,116.316527,2008-10-23 02:54:05,000
39.984536,116.316354,2008-10-23 02:54:10,000
39.984523,116.316188,2008-10-23 02:54:15,000
39.984516,116.315963,2008-10-23 02:54:20,000
39.984523,116.315823,2008-10-23 02:54:25,000
39.984574,116.315611,2008-10-23 02:54:30,000
39.984568,116.315407,2008-10-23 02:54:35,000
39.984538,116.315148,2008-10-23 02:54:40,000
39.984501,116.314907,2008-10-23 02:54:45,000
39.984532,116.314808,2008-10-23 02:54:50,000
39.984504,116.314625,2008-10-23 02:54:55,000
39.984485,116.314426,2008-10-23 02:55:00,000
39.984427,116.31424,2008-10-23 02:55:05,000
39.984485,116.314042,2008-10-23 02:55:10,000
39.98448,116.313818,2008-10-23 02:55:15,000
39.984501,116.313659,2008-10-23 02:55:20,000
39.984618,116.314323,2008-10-23 02:55:25,000
39.984649,116.314107,2008-10-23 02:55:30,000
39.984621,116.313941,2008-10-23 02:55:35,000
39.984655,116.313724,2008-10-23 02:55:40,000
39.984681,116.313521,2008-10-23 02:55:45,000
39.984708,116.313311,2008-10-23 02:55:50,000
39.984708,116.313099,2008-10-23 02:55:55,000
39.984696,116.312921,2008-10-23 02:56:00,000
39.984677,116.312746,2008-10-23 02:56:05,000
39.984682,116.312525,2008-10-23 02:56:10,000
39.984649,116.312332,2008-10-23 02:56:15,000
39.984641,116.312123,2008-10-23 02:56:20,000
39.984647,116.311917,2008-10-23 02:56:25,000
39.984654,116.31172,2008-10-23 02:56:30,000
39.984631,116.311569,2008-10-23 02:56:35,000
39.984647,116.31138,2008-10-23 02:56:40,000
39.984653,116.311189,2008-10-23 02:56:45,000
39.984628,116.311026,2008-10-23 02:56:50,000
39.984652,116.310854,2008-10-23 02:56:55,000
39.984656,116.31066,2008-10-23 02:57:00,000
39.984616,116.310534,2008-10-23 02:57:05,000
39.984676,116.31033,2008-10-23 02:57:10,000
39.984698,116.310063,2008-10-23 02:57:15,000
39.984696,116.309937,2008-10-23 02:57:20,000
39.984663,116.309851,2008-10-23 02:57:25,000
39.984598,116.309749,2008-10-23 02:57:30,000
39.98454,116.309656,2008-10-23 02:57:35,000
